dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,p_at_10,recall_at_10,p_at_15,recall_at_15,p_at_20,recall_at_20,ap,auc
1year.arff,7,LR_balanced,External ML baseline,run_external_baselines.py,0.6311779186982318,0.4814814814814814,0.8274161735700197,0.1002570694087403,0.1659574468085106,0.1191203420891875,0.273492286115007,0.6544488275257506,0.1725838264299802,0.1844476055002371,39.0,350.0,1678.0,42.0,0.1327014218009478,0.345679012345679,0.1072555205047318,0.419753086419753,0.0947867298578199,0.4938271604938271,0.1000523136004005,0.7075815131370686
1year.arff,7,RF_balanced,External ML baseline,run_external_baselines.py,0.7201837412971246,0.5925925925925926,0.8752465483234714,0.1594684385382059,0.2513089005235602,0.1867704280155642,0.384,0.7339195704580319,0.1247534516765286,0.1427216690374585,48.0,253.0,1775.0,33.0,0.1895734597156398,0.4938271604938271,0.1577287066246056,0.6172839506172839,0.1279620853080568,0.6666666666666666,0.2702723938749612,0.8184369445053206
1year.arff,8,BalancedRF,External ML baseline,run_external_baselines.py,0.6545394160975074,0.4691358024691358,0.9132149901380672,0.1775700934579439,0.2576271186440678,0.2027748132337246,0.3531598513011152,0.6911753963036014,0.0867850098619329,0.1014698909435751,38.0,176.0,1852.0,43.0,0.1753554502369668,0.4567901234567901,0.1356466876971608,0.5308641975308642,0.1113744075829383,0.5802469135802469,0.2091510021573476,0.8087332895025202
1year.arff,8,EasyEnsemble,External ML baseline,run_external_baselines.py,0.7155408339679911,0.5555555555555556,0.9215976331360948,0.2205882352941176,0.3157894736842105,0.2508361204013378,0.4261363636363636,0.7385765943458251,0.0784023668639053,0.096728307254623,45.0,159.0,1869.0,36.0,0.2132701421800948,0.5555555555555556,0.1640378548895899,0.6419753086419753,0.1327014218009478,0.691358024691358,0.3234772040919194,0.8524727883702243
1year.arff,8,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.5885242773185347,0.3950617283950617,0.8767258382642998,0.1134751773049645,0.1763085399449036,0.1323407775020678,0.264026402640264,0.6358937833296807,0.1232741617357002,0.1337126600284495,32.0,250.0,1778.0,49.0,0.1327014218009478,0.345679012345679,0.1104100946372239,0.4320987654320987,0.0995260663507109,0.5185185185185185,0.1521767618625718,0.7458665108237759
1year.arff,8,HistGB,External ML baseline,run_external_baselines.py,0.5974658540109522,0.3580246913580246,0.9970414201183432,0.8285714285714286,0.5,0.6561085972850679,0.403899721448468,0.6775330557381839,0.0029585798816568,0.0165955429113323,29.0,6.0,2022.0,52.0,0.2606635071090047,0.6790123456790124,0.1861198738170347,0.7283950617283951,0.1469194312796208,0.7654320987654321,0.5333003114021853,0.8753317749044244
1year.arff,8,LR_balanced,External ML baseline,run_external_baselines.py,0.6089406198480983,0.4444444444444444,0.834319526627219,0.0967741935483871,0.1589403973509933,0.1147227533460803,0.2586206896551724,0.6393819855358317,0.165680473372781,0.1763869132290185,36.0,336.0,1692.0,45.0,0.1184834123222748,0.3086419753086419,0.1041009463722397,0.4074074074074074,0.0924170616113744,0.4814814814814814,0.1144300177401632,0.7419826137774856
1year.arff,8,RF_balanced,External ML baseline,run_external_baselines.py,0.5020958339392997,0.2592592592592592,0.9723865877712032,0.2727272727272727,0.2658227848101265,0.2699228791773779,0.2618453865336658,0.6158229235152312,0.0276134122287968,0.0365101944049312,21.0,56.0,1972.0,60.0,0.2132701421800948,0.5555555555555556,0.1482649842271293,0.5802469135802469,0.1255924170616113,0.654320987654321,0.2983675349846106,0.8177307814059951
1year.arff,9,BalancedRF,External ML baseline,run_external_baselines.py,0.6289072960122012,0.4567901234567901,0.8658777120315582,0.1197411003236245,0.1897435897435897,0.1404707668944571,0.292259083728278,0.6613339177441742,0.1341222879684418,0.1465149359886202,37.0,272.0,1756.0,44.0,0.1279620853080568,0.3333333333333333,0.1198738170347003,0.4691358024691358,0.0971563981042654,0.5061728395061729,0.1254609821051592,0.738975332992427
1year.arff,9,EasyEnsemble,External ML baseline,run_external_baselines.py,0.6533245596575898,0.4567901234567901,0.9344181459566075,0.2176470588235294,0.2948207171314741,0.2431011826544021,0.374493927125506,0.6956041347066988,0.0655818540433925,0.0806069227121858,37.0,133.0,1895.0,44.0,0.1800947867298578,0.4691358024691358,0.1482649842271293,0.5802469135802469,0.1232227488151658,0.6419753086419753,0.2037992250890501,0.8283536659605036
1year.arff,9,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.6344390960648081,0.4938271604938271,0.8150887573964497,0.0963855421686747,0.1612903225806451,0.1148765077541642,0.2706359945872801,0.6544579589451385,0.1849112426035503,0.1967757230915125,40.0,375.0,1653.0,41.0,0.1279620853080568,0.3333333333333333,0.113564668769716,0.4444444444444444,0.0971563981042654,0.5061728395061729,0.1197117118278453,0.7222891859643996
1year.arff,9,HistGB,External ML baseline,run_external_baselines.py,0.6615517125817899,0.4444444444444444,0.9847140039447732,0.5373134328358209,0.4864864864864865,0.5157593123209169,0.4603580562659846,0.7145792241946087,0.0152859960552268,0.0317686107159791,36.0,31.0,1997.0,45.0,0.2796208530805687,0.7283950617283951,0.2082018927444795,0.8148148148148148,0.1587677725118483,0.8271604938271605,0.4676926160298166,0.9024216524216524
1year.arff,9,LR_balanced,External ML baseline,run_external_baselines.py,0.5942886095741275,0.3950617283950617,0.8939842209072978,0.1295546558704453,0.1951219512195122,0.1496725912067352,0.2802101576182136,0.6445229746511798,0.1060157790927021,0.1171171171171171,32.0,215.0,1813.0,49.0,0.1469194312796208,0.382716049382716,0.1198738170347003,0.4691358024691358,0.1090047393364928,0.5679012345679012,0.1318856267916105,0.7399006501570604
1year.arff,9,RF_balanced,External ML baseline,run_external_baselines.py,0.6869982114091441,0.5308641975308642,0.8890532544378699,0.1604477611940298,0.2464183381088825,0.1864700780572419,0.3631756756756756,0.709958725984367,0.1109467455621301,0.1270744428639165,43.0,225.0,1803.0,38.0,0.1848341232227488,0.4814814814814814,0.1451104100946372,0.5679012345679012,0.1184834123222748,0.6172839506172839,0.1737927234052126,0.8005150120534736
