dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,ap,auc,feature_count,features,alpha
1year.arff,4,PBMSBAINGO-HGBKELM(Sensitivity-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.8278473820067261,0.7160493827160493,0.9571005917159764,0.4,0.5132743362831859,0.4387291981845688,0.6183368869936035,0.5112502996487814,0.7049820268007905,0.8365749872160129,0.6368290343843758,0.8942642511018579,21.0,21.0,
1year.arff,4,PBMSBAINGO-HGBKELM(Triad-mode),Proposed hybrid optimized KELM,formal_pbmsbaingo_hgbkelm_triad_alpha005_10seed_complete.csv,0.8635439959189803,0.7901234567901234,0.9437869822485208,0.3595505617977528,0.4942084942084942,0.403530895334174,0.6374501992031872,0.5073625550981072,0.7232622252528674,0.8669552195193221,0.7386109052056236,0.9118939781332944,10.0,10.0,0.05
1year.arff,4,PBMSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5995712788819003,0.4567901234567901,0.7869822485207101,0.0788912579957356,0.1345454545454545,0.0945324476239141,0.2332912988650693,0.1126555578734637,0.34340880111620137,0.6218861859887501,0.0809259230421143,0.6867923149974433,43.0,43.0,
1year.arff,4,RF_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7368129482243769,0.6419753086419753,0.8456607495069034,0.1424657534246575,0.2331838565022421,0.1687216093445814,0.3773584905660377,0.2477151818268229,0.5123369842258294,0.7438180290744394,0.2873969478018717,0.8348856746292643,,,
1year.arff,4,TIS_NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.616185376446047,0.4320987654320987,0.878698224852071,0.1245551601423487,0.1933701657458563,0.1452282157676348,0.2892561983471074,0.1757567582452662,0.405612754287672,0.6553984951420849,0.1093315569446453,0.7845228528989212,17.0,17.0,
1year.arff,5,BAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5830371392495263,0.3950617283950617,0.8604536489151874,0.1015873015873015,0.1616161616161616,0.1193139448173005,0.2503912363067292,0.1377612358904773,0.36044567888339746,0.6277576886551246,0.1073413499840284,0.7238658777120315,13.0,13.0,
1year.arff,5,BalancedRF,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6856277926728686,0.5432098765432098,0.8653846153846154,0.138801261829653,0.2211055276381909,0.1630837657524091,0.3432137285491419,0.2197203887841327,0.4691903402077293,0.7042972459639126,0.1816298379613566,0.8336103197214308,,,
1year.arff,5,EasyEnsemble,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7590975490999835,0.6296296296296297,0.9151873767258384,0.2286995515695067,0.3355263157894737,0.2620760534429599,0.4661791590493601,0.3404896104482385,0.581076101765759,0.7724085031777339,0.3324631041393646,0.8881096744344608,,,
1year.arff,5,ExtraTrees_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6427327695904521,0.5555555555555556,0.7435897435897436,0.079646017699115,0.1393188854489164,0.0961127723195215,0.2530933633295838,0.129810790752364,0.3771006031877729,0.6495726495726496,0.1274132845960968,0.7379587016339153,,,
1year.arff,5,HistGB,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7427788092108357,0.5555555555555556,0.9930966469428008,0.7627118644067796,0.6428571428571429,0.7097791798107256,0.587467362924282,0.6393971194274297,0.7065830720339152,0.7743261012491782,0.6751378678960062,0.906731682372708,,,
1year.arff,5,INGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.664439445660673,0.5802469135802469,0.7608481262327417,0.0883458646616541,0.1533442088091354,0.1063829787234042,0.2745327102803738,0.1509316173667607,0.40541238647272365,0.6705475199064943,0.1028181425044165,0.712908174446636,15.0,15.0,
1year.arff,5,LR_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6721096020114075,0.5555555555555556,0.8131163708086785,0.1061320754716981,0.1782178217821782,0.1266178953292065,0.3008021390374331,0.1767802208289243,0.43063033926816163,0.6843359631821171,0.1625997555513144,0.7500060876129253,,,
