dataset,method,policy,auc_deduplicated,ap_deduplicated,mcc_deduplicated,balanced_accuracy_deduplicated,brier_deduplicated,log_loss_deduplicated,auc_raw,ap_raw,mcc_raw,balanced_accuracy_raw,brier_raw,log_loss_raw,delta_raw_minus_deduplicated_auc,delta_raw_minus_deduplicated_ap,delta_raw_minus_deduplicated_mcc,delta_raw_minus_deduplicated_balanced_accuracy,delta_raw_minus_deduplicated_brier,delta_raw_minus_deduplicated_log_loss
PONE2016_h3_target_Asia,HistGB,triad,0.833648393194707,0.8355040774194233,0.4369259473273602,0.7065217391304348,0.1763889987783558,0.5364223499824375,0.8204158790170132,0.8237646623820232,0.4655186534475463,0.7282608695652174,0.1799634012007729,0.5442493149076687,-0.013232514177693777,-0.01173941503740017,0.028592706120186107,0.021739130434782594,0.0035744024224171056,0.007826964925231161
PONE2016_h3_target_Asia,KELM_PBMSBAINGO,triad,0.8804347826086956,0.8642062102796939,0.6753508114729635,0.8369565217391304,0.1705421195209216,0.5187753196801881,0.8851606805293005,0.8824652127539181,0.6546536707079771,0.8260869565217391,0.1752064987684742,0.5267755296280174,0.00472589792060496,0.018259002474224184,-0.02069714076498641,-0.010869565217391242,0.004664379247552586,0.008000209947829351
PONE2016_h3_target_Asia,KELM_score_fusion,triad,0.8804347826086956,0.8642062102796939,0.6753508114729635,0.8369565217391304,0.1701818285780915,0.5169288890281392,0.8393194706994329,0.8422528387638375,0.5010667310928438,0.75,0.1738610249545392,0.5296866119971952,-0.04111531190926265,-0.021953371515856412,-0.17428408038011967,-0.08695652173913038,0.003679196376447702,0.012757722969056084
PONE2016_h3_target_Asia,KELM_risk_feature,triad,0.91351606805293,0.9198378134514024,0.6236095644623236,0.8043478260869565,0.1551798278292079,0.4772879659991939,0.8799621928166351,0.8753836879688855,0.6317797913779336,0.8152173913043479,0.169503557711127,0.514315815553633,-0.03355387523629483,-0.044454125482516815,0.00817022691560998,0.010869565217391353,0.0143237298819191,0.03702784955443916
PONE2016_h3_target_Asia,Full_PBMSBAINGO,triad,0.8653119092627599,0.8465786584069314,0.5262348115842176,0.7608695652173914,0.1535135812315557,0.4778647691882906,0.8771266540642721,0.8709987297364266,0.445435403187374,0.7173913043478262,0.1554245547565032,0.4819947075680267,0.011814744801512234,0.024420071329495197,-0.08079940839684358,-0.04347826086956519,0.0019109735249475124,0.004129938379736131
PONE2016_h3_target_Asia,Uncertainty_gated_fusion,triad,0.91351606805293,0.9198378134514024,0.6236095644623236,0.8043478260869565,0.1551798278292079,0.4772879659991939,0.8799621928166351,0.8753836879688855,0.6317797913779336,0.8152173913043479,0.169503557711127,0.514315815553633,-0.03355387523629483,-0.044454125482516815,0.00817022691560998,0.010869565217391353,0.0143237298819191,0.03702784955443916
PONE2016_h3_target_Asia,Full_random_search,triad,0.8369565217391305,0.8410091271223659,0.4305966286443697,0.7065217391304348,0.1764749927471061,0.5363433091179304,0.8586956521739131,0.8687959118046233,0.492056280281487,0.7065217391304348,0.1646596369237963,0.5031506040594741,0.021739130434782594,0.02778678468225748,0.06145965163711731,0.0,-0.011815355823309809,-0.033192705058456284
PONE2016_h3_target_Asia,Balanced_logistic,triad,0.8563327032136107,0.8712030268600253,0.5597170785495562,0.7717391304347826,0.1955782765100358,0.5775951833113209,0.8591682419659735,0.8711984264910638,0.5597170785495562,0.7717391304347826,0.1921406928621293,0.5701067771998118,0.002835538752362865,-4.600368961438228e-06,0.0,0.0,-0.0034375836479065003,-0.007488406111509027
PONE2016_h3_target_Europe,HistGB,triad,0.7042915931804822,0.6782673122876944,0.2240249365093635,0.5875220458553791,0.225475287988643,0.6429027879985254,0.7117346938775511,0.6848273561418168,0.2301707477296602,0.5892857142857143,0.2233642914836916,0.6383367200630187,0.007443100697068883,0.006560043854122344,0.006145811220296699,0.0017636684303351524,-0.00211099650495139,-0.004566067935506735
PONE2016_h3_target_Europe,KELM_PBMSBAINGO,triad,0.682392710170488,0.7139442448148506,0.2310726156379586,0.6137566137566137,0.2552435220872724,0.7373760897679176,0.7264739229024944,0.7601503707728279,0.2925089696508522,0.6428571428571428,0.2247914499296662,0.6425099735704828,0.04408121273200638,0.04620612595797724,0.0614363540128936,0.02910052910052907,-0.030452072157606203,-0.09486611619743479
