dataset,seed,method,mcc,sensitivity,specificity,precision,f2,ap,tp,fp,tn,fn
2year.arff,3,EasyEnsemble_reference,0.2664458059973971,0.6166666666666667,0.8707366984993179,0.1633554083885209,0.3965702036441586,0.205971771149301,74.0,379.0,2553.0,46.0
2year.arff,4,Balanced_logistic,0.1623231924046665,0.5,0.8257162346521146,0.1050788091068301,0.2854424357754519,0.1164430823308475,60.0,511.0,2421.0,60.0
2year.arff,4,Random_forest,0.2416070256269435,0.5,0.8990450204638472,0.1685393258426966,0.3588516746411483,0.2028399534015899,60.0,296.0,2636.0,60.0
2year.arff,4,Extra_trees,0.1174797939890971,0.3916666666666666,0.8366302864938608,0.0893536121673003,0.2335984095427435,0.0739531505217271,47.0,479.0,2453.0,73.0
2year.arff,4,HistGB_fair,0.4718453146907717,0.5833333333333334,0.9672578444747612,0.4216867469879518,0.541795665634675,0.5409607128261,70.0,96.0,2836.0,50.0
2year.arff,4,Balanced_forest_reference,0.2017755501856262,0.5416666666666666,0.846862210095498,0.1264591439688716,0.3269617706237424,0.1314457042448475,65.0,449.0,2483.0,55.0
2year.arff,4,EasyEnsemble_reference,0.1715305256564204,0.5083333333333333,0.8318553888130968,0.1101083032490974,0.2949709864603481,0.1055105708925484,61.0,493.0,2439.0,59.0
2year.arff,5,Balanced_logistic,0.2012347984687829,0.5583333333333333,0.8376534788540245,0.1233885819521178,0.3274682306940371,0.1350527337625658,67.0,476.0,2456.0,53.0
2year.arff,5,Random_forest,0.230859225391342,0.25,0.9723738062755798,0.2702702702702703,0.2538071065989847,0.2710508276456955,30.0,81.0,2851.0,90.0
2year.arff,5,Extra_trees,0.1361320240244472,0.375,0.8686903137789904,0.1046511627906976,0.2472527472527472,0.1137353981291699,45.0,385.0,2547.0,75.0
2year.arff,5,HistGB_fair,0.5219508456794917,0.4,0.9935197817189632,0.7164179104477612,0.4387568555758683,0.5553361727418595,48.0,19.0,2913.0,72.0
2year.arff,5,Balanced_forest_reference,0.1673683877820163,0.375,0.897680763983629,0.1304347826086956,0.2727272727272727,0.185480422818708,45.0,300.0,2632.0,75.0
2year.arff,5,EasyEnsemble_reference,0.1786526913488081,0.45,0.8707366984993179,0.1247113163972286,0.2957283680175246,0.11011361021252,54.0,379.0,2553.0,66.0
2year.arff,6,Balanced_logistic,0.1381680460224554,0.4833333333333333,0.8045702592087313,0.0919175911251981,0.261026102610261,0.0994331520202092,58.0,573.0,2359.0,62.0
2year.arff,6,Random_forest,0.2391546487310321,0.6,0.854706684856753,0.144578313253012,0.3680981595092025,0.2735531257650014,72.0,426.0,2506.0,48.0
2year.arff,6,Extra_trees,0.1576538252632139,0.575,0.772169167803547,0.0936227951153324,0.2834839769926047,0.1192492260519883,69.0,668.0,2264.0,51.0
2year.arff,6,HistGB_fair,0.4538877050958938,0.4916666666666666,0.9764665757162346,0.4609375,0.4851973684210526,0.4947498374915224,59.0,69.0,2863.0,61.0
2year.arff,6,Balanced_forest_reference,0.2018426641178064,0.6,0.8158253751705321,0.1176470588235294,0.3296703296703297,0.2217546605237188,72.0,540.0,2392.0,48.0
2year.arff,6,EasyEnsemble_reference,0.2317518320319717,0.6166666666666667,0.839699863574352,0.1360294117647058,0.361328125,0.1557662989451379,74.0,470.0,2462.0,46.0
2year.arff,7,Balanced_logistic,0.1610769457914937,0.45,0.8530013642564802,0.111340206185567,0.2797927461139896,0.1267796032462762,54.0,431.0,2501.0,66.0
2year.arff,7,Random_forest,0.2466636756538036,0.475,0.9116643929058664,0.180379746835443,0.3580402010050251,0.2321943235957705,57.0,259.0,2673.0,63.0
2year.arff,7,Extra_trees,0.1370768063771693,0.4416666666666666,0.8298090040927695,0.0960144927536231,0.2567829457364341,0.100169145674474,53.0,499.0,2433.0,67.0
2year.arff,7,HistGB_fair,0.3934068758497442,0.5666666666666667,0.9502046384720328,0.3177570093457944,0.4899135446685879,0.4497613406313124,68.0,146.0,2786.0,52.0
2year.arff,7,Balanced_forest_reference,0.1964977647457968,0.45,0.8864256480218281,0.1395348837209302,0.3114186851211072,0.1610471755126298,54.0,333.0,2599.0,66.0
2year.arff,7,EasyEnsemble_reference,0.204730467596348,0.5333333333333333,0.8540245566166439,0.1300813008130081,0.3292181069958848,0.1333465200915561,64.0,428.0,2504.0,56.0
2year.arff,8,Balanced_logistic,0.098174471286065,0.275,0.888130968622101,0.0914127423822714,0.1961950059453032,0.1071032712067735,33.0,328.0,2604.0,87.0
2year.arff,8,Random_forest,0.2709224988293761,0.5583333333333333,0.8966575716234653,0.1810810810810811,0.3941176470588236,0.2777927072790709,67.0,303.0,2629.0,53.0
2year.arff,8,Extra_trees,0.1758695192643519,0.525,0.8274215552523875,0.1107205623901581,0.3002859866539561,0.0992864187001694,63.0,506.0,2426.0,57.0
2year.arff,8,HistGB_fair,0.3671972361573128,0.675,0.9140518417462484,0.2432432432432432,0.4981549815498155,0.4848270754401069,81.0,252.0,2680.0,39.0
2year.arff,8,Balanced_forest_reference,0.2491352565070512,0.5833333333333334,0.8707366984993179,0.155902004454343,0.3767491926803014,0.1958341714978274,70.0,379.0,2553.0,50.0
2year.arff,8,EasyEnsemble_reference,0.2539568832551499,0.6333333333333333,0.8530013642564802,0.1499013806706114,0.3850050658561296,0.1498302827912686,76.0,431.0,2501.0,44.0
2year.arff,9,Balanced_logistic,0.190540838367787,0.475,0.8693724420190996,0.1295454545454545,0.3097826086956521,0.15718363790301,57.0,383.0,2549.0,63.0
2year.arff,9,Random_forest,0.2609399718386238,0.5,0.9113233287858116,0.1875,0.375,0.2847950583734178,60.0,260.0,2672.0,60.0
2year.arff,9,Extra_trees,0.1847183816903805,0.5083333333333333,0.8465211459754434,0.1193737769080234,0.3077699293642785,0.1259511966592782,61.0,450.0,2482.0,59.0
2year.arff,9,HistGB_fair,0.3475977436569455,0.6333333333333333,0.9160982264665756,0.2360248447204969,0.4738154613466334,0.5424077646574094,76.0,246.0,2686.0,44.0
2year.arff,9,Balanced_forest_reference,0.1983505509836587,0.4666666666666667,0.8802864938608458,0.1375921375921376,0.3156708004509583,0.2086178759520847,56.0,351.0,2581.0,64.0
2year.arff,9,EasyEnsemble_reference,0.2504001663242294,0.5,0.904843110504775,0.1769911504424778,0.3663003663003663,0.1838957853452489,60.0,279.0,2653.0,60.0
2year.arff,10,Balanced_logistic,0.1982639645909459,0.4916666666666666,0.8683492496589359,0.1325842696629213,0.3189189189189189,0.1875333842292363,59.0,386.0,2546.0,61.0
2year.arff,10,Random_forest,0.2355726453305164,0.45,0.9140518417462484,0.1764705882352941,0.3435114503816794,0.2752967613121474,54.0,252.0,2680.0,66.0
2year.arff,10,Extra_trees,0.1258098402270701,0.45,0.8093451568894953,0.0880913539967373,0.2470265324794144,0.1250646856517851,54.0,559.0,2373.0,66.0
2year.arff,10,HistGB_fair,0.4498803489081217,0.4916666666666666,0.9757844474761256,0.4538461538461538,0.4836065573770491,0.5489965374562187,59.0,71.0,2861.0,61.0
2year.arff,10,Balanced_forest_reference,0.1887855729601326,0.4833333333333333,0.8635743519781719,0.1266375545851528,0.3091684434968016,0.1737615484427487,58.0,400.0,2532.0,62.0
2year.arff,10,EasyEnsemble_reference,0.2524547116886231,0.5333333333333333,0.8935879945429741,0.1702127659574468,0.3738317757009345,0.2436821915657076,64.0,312.0,2620.0,56.0
3year.arff,1,Balanced_logistic,0.1465553053771855,0.4563758389261745,0.8174550299800133,0.1103896103896103,0.2805280528052805,0.1007448514168693,68.0,548.0,2454.0,81.0
3year.arff,1,Random_forest,0.2743194433813274,0.5436241610738255,0.8907395069953364,0.1980440097799511,0.4029850746268656,0.2617325932856764,81.0,328.0,2674.0,68.0
3year.arff,1,Extra_trees,0.1850122122765335,0.4832214765100671,0.8447701532311792,0.1338289962825278,0.3174603174603175,0.1208486372333942,72.0,466.0,2536.0,77.0
3year.arff,1,HistGB_fair,0.3945752594264933,0.5973154362416108,0.9350433044636908,0.3133802816901408,0.5056818181818182,0.5332262283239241,89.0,195.0,2807.0,60.0
3year.arff,1,Balanced_forest_reference,0.2131850648238331,0.4295302013422818,0.8960692871419054,0.1702127659574468,0.3292181069958848,0.2151664953312236,64.0,312.0,2690.0,85.0
3year.arff,1,EasyEnsemble_reference,0.2200122057308432,0.4496644295302013,0.8920719520319786,0.1713554987212276,0.3394123606889564,0.1759234385691923,67.0,324.0,2678.0,82.0
3year.arff,2,Balanced_logistic,0.1239337825377855,0.4161073825503356,0.8154563624250499,0.1006493506493506,0.2557755775577557,0.0990302400184315,62.0,554.0,2448.0,87.0
3year.arff,2,Random_forest,0.237392562783448,0.4429530201342282,0.9067288474350432,0.1907514450867052,0.3503184713375796,0.2364561801076136,66.0,280.0,2722.0,83.0
3year.arff,2,Extra_trees,0.1285864877457519,0.4161073825503356,0.82145236508994,0.1036789297658862,0.2596314907872696,0.10219010292829,62.0,536.0,2466.0,87.0
