dataset,seed,method,fit_n,validation_n,test_n,test_positive,threshold_policy,threshold,validation_threshold_utility,fit_seconds,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc
3year.arff,4,Extra_trees,2800,1400,3151,149,triad,0.2984789396147561,0.2795633897822724,0.35200480000003154,0.6572692187046247,0.5302013422818792,0.8147901399067289,0.12440944881889764,0.201530612244898,0.14689475641502417,0.3208773354995938,0.1825427839465054,0.4288286101189102,0.672495741094304,0.18520986009327114,0.20152332592827674,79.0,556.0,2446.0,70.0,0.13356814623291205,0.7634932416420374
3year.arff,4,HistGB_fair,2800,1400,3151,149,triad,0.03627983642065199,0.7031848978131264,4.044821000000013,0.6952763988350075,0.4966442953020134,0.9733510992671552,0.4805194805194805,0.4884488448844884,0.4836601307189542,0.4933333333333333,0.4626881199406197,0.6070173548299247,0.7349976972845843,0.02664890073284477,0.048873373532211994,74.0,80.0,2922.0,75.0,0.4800350057763695,0.8747166318651101
3year.arff,4,Balanced_forest_reference,2800,1400,3151,149,triad,0.5402405625879045,0.3581183368772445,0.30138359999995146,0.6741347451574188,0.5503355704697986,0.8257828114590273,0.13553719008264462,0.21750663129973474,0.15959517321915143,0.34138218151540384,0.20268245229679427,0.45161655929924693,0.6880591909644129,0.17421718854097268,0.19200253887654714,82.0,523.0,2479.0,67.0,0.20811539751710578,0.7875141404611692
3year.arff,4,EasyEnsemble_reference,2800,1400,3151,149,triad,0.5098006137973862,0.40143587178936296,1.7499009,0.7020441962608058,0.5838926174496645,0.844103930712858,0.15675675675675677,0.24715909090909088,0.18362178134233853,0.37793223284100774,0.23847338094181925,0.4898422845610648,0.7139982740812613,0.1558960692871419,0.17613456045699777,87.0,468.0,2534.0,62.0,0.1644637491753978,0.7935313817633881
3year.arff,5,Balanced_logistic,2800,1400,3151,149,triad,0.5653353607953536,0.39073418291664763,0.09240829999998823,0.6325806539400743,0.4697986577181208,0.8517654896735509,0.13592233009708737,0.21084337349397594,0.15844273426889993,0.315031503150315,0.1845821847365285,0.4195726762055076,0.6607820736958359,0.14823451032644902,0.1634401777213583,70.0,445.0,2557.0,79.0,0.17797203861825683,0.76941323234175
3year.arff,5,Random_forest,2800,1400,3151,149,triad,0.19510209068521578,0.4672961892171883,0.8203701999999566,0.6850597168061345,0.5369127516778524,0.8740839440373085,0.17467248908296942,0.26359143327841844,0.20191822311963653,0.3795066413662239,0.24750609190118122,0.4879188364824136,0.7054983478575805,0.12591605596269154,0.14535068232307205,80.0,378.0,2624.0,69.0,0.22556938294534773,0.8080463136432534
3year.arff,5,Extra_trees,2800,1400,3151,149,triad,0.3292571060107975,0.4174565915128278,0.394714600000043,0.5762624321370936,0.38926174496644295,0.8530979347101932,0.11623246492985972,0.17901234567901236,0.1351981351981352,0.2648401826484018,0.1409035111347858,0.36034691666551494,0.6211798398383181,0.1469020652898068,0.1583624246271025,58.0,441.0,2561.0,91.0,0.10659127073385179,0.7402794110414085
3year.arff,5,HistGB_fair,2800,1400,3151,149,triad,0.020165246203960114,0.6577454992127106,5.677166,0.7222967494654614,0.5436241610738255,0.9596935376415723,0.400990099009901,0.46153846153846156,0.4231974921630094,0.5075187969924811,0.43614169734686337,0.6105009021965232,0.7516588493576989,0.04030646235842771,0.06410663281497937,81.0,121.0,2881.0,68.0,0.5087042442903348,0.8854130803178195
3year.arff,5,Balanced_forest_reference,2800,1400,3151,149,triad,0.5380477044404258,0.4066823886131726,0.3512751000000094,0.6988508609053702,0.5838926174496645,0.8364423717521652,0.15051903114186851,0.2393397524071527,0.176757415684681,0.37052810902896083,0.23052084802250872,0.48286575463816955,0.7101674946009149,0.16355762824783476,0.1834338305299905,87.0,491.0,2511.0,62.0,0.160096848201512,0.7863258945937608
3year.arff,5,EasyEnsemble_reference,2800,1400,3151,149,triad,0.5138592269269202,0.5000601792730022,1.8597007999999846,0.6224267839206751,0.436241610738255,0.8880746169220519,0.16209476309226933,0.23636363636363641,0.1853964632059327,0.3259779338014042,0.2065516291371839,0.43092503282562833,0.6621581138301534,0.11192538307794804,0.12726118692478577,65.0,336.0,2666.0,84.0,0.16041484727764135,0.8109045870985339
3year.arff,6,Balanced_logistic,2800,1400,3151,149,triad,0.6155764263860427,0.24349063571759613,0.09626610000003666,0.6260957914463258,0.44966442953020136,0.8717521652231845,0.14823008849557523,0.22296173044925122,0.1711803781297905,0.31965648854961837,0.19462387452032784,0.4241237191104139,0.6607082973766929,0.12824783477681545,0.1434465249127261,67.0,385.0,2617.0,82.0,0.15438515311390488,0.7365894772612441
3year.arff,6,Random_forest,2800,1400,3151,149,triad,0.2108355630503275,0.4891719303195189,0.9064201999999568,0.6565919880220922,0.47651006711409394,0.90473017988008,0.19887955182072828,0.28063241106719367,0.22511097019657572,0.37250786988457496,0.25529946896723416,0.47923333900025766,0.690620123497087,0.09526982011992005,0.11329736591558236,71.0,286.0,2716.0,78.0,0.30614142704661135,0.8082620534855958
3year.arff,6,Extra_trees,2800,1400,3151,149,triad,0.308436450076045,0.3686785703897494,0.40124009999999544,0.6432087351236075,0.4899328859060403,0.8444370419720186,0.13518518518518519,0.2119013062409289,0.1580770896491988,0.32130281690140844,0.1883325444132034,0.42711328543257815,0.6671849639390295,0.15556295802798134,0.17137416693113297,73.0,467.0,2535.0,76.0,0.1298331901506501,0.7546903853806635
