dataset,seed,method,cost_ratio,normalized_cost
2year.arff,4,Random_forest,2,0.13114754098360656
2year.arff,4,Random_forest,5,0.16874292185730463
2year.arff,4,Random_forest,10,0.21684414327202323
2year.arff,4,Random_forest,20,0.2805701425356339
2year.arff,4,Random_forest,50,0.3690103000447828
2year.arff,4,Extra_trees,1,0.18086500655307994
2year.arff,4,Extra_trees,2,0.19703656998738966
2year.arff,4,Extra_trees,5,0.23895809739524349
2year.arff,4,Extra_trees,10,0.292594385285576
2year.arff,4,Extra_trees,20,0.36365341335333834
2year.arff,4,Extra_trees,50,0.4622704881325571
2year.arff,4,HistGB_fair,1,0.04783748361730013
2year.arff,4,HistGB_fair,2,0.0617906683480454
2year.arff,4,HistGB_fair,5,0.09796149490373726
2year.arff,4,HistGB_fair,10,0.1442400774443369
2year.arff,4,HistGB_fair,20,0.20555138784696175
2year.arff,4,HistGB_fair,50,0.29064039408866993
2year.arff,4,Balanced_forest_reference,1,0.1651376146788991
2year.arff,4,Balanced_forest_reference,2,0.1762295081967213
2year.arff,4,Balanced_forest_reference,5,0.20498301245753114
2year.arff,4,Balanced_forest_reference,10,0.24177153920619554
2year.arff,4,Balanced_forest_reference,20,0.290510127531883
2year.arff,4,Balanced_forest_reference,50,0.35815047021943575
2year.arff,4,EasyEnsemble_reference,1,0.18086500655307994
2year.arff,4,EasyEnsemble_reference,2,0.19262295081967212
