horizon,target_region,method,auc,ap,mcc,balanced_accuracy,brier,log_loss,ece_10,calibration_intercept,calibration_slope,absolute_intercept,absolute_slope_error
2,Europe,KELM_score_fusion,0.8093570451436388,0.7981066063513911,0.478354775285442,0.7158823529411765,0.1869820034465181,0.608456056908896,0.10645495912553922,0.0732960344019287,0.772009093473095,0.0732960344019287,0.227990906526905
2,Europe,Uncertainty_gated_fusion,0.8021887824897401,0.8112900716632326,0.45693356943585856,0.7076470588235295,0.19073054483092425,0.5784695897534855,0.1099698856253449,0.13437937557083848,0.7096599736060225,0.13437937557083848,0.2903400263939775
2,North America,Balanced_logistic,0.8073723465289729,0.8534941456966717,0.4841527384287163,0.731425702811245,0.1786813389158996,0.5959567668017041,0.0989804324542473,0.1384002646389417,0.5605383650644322,0.1384002646389417,0.4394616349355678
2,North America,Full_PBMSBAINGO,0.8632530120481927,0.8530797381744403,0.4982070305183415,0.7327739529546757,0.15407819592907293,0.4793643083957795,0.08054502977211195,-0.035398642066841034,0.7962955403406928,0.035398642066841034,0.20370445965930717
2,North America,Full_random_search,0.8555077452667813,0.8503171333400438,0.4124784776946543,0.6734509466437177,0.1582404548730353,0.47934465428705375,0.08515943554299732,-0.026785123300496455,0.866634792311746,0.026785123300496455,0.133365207688254
2,North America,HistGB,0.8588640275387263,0.8572195571594456,0.4869825130371185,0.7427567412507171,0.1666717408440504,0.5075168862349643,0.0978362679037738,-0.05270882288582459,0.7080735692920371,0.05270882288582459,0.29192643070796287
2,North America,KELM_PBMSBAINGO,0.839443488238669,0.8312238159558257,0.41365534728573133,0.6862880091795753,0.1685589033508086,0.5093867059320932,0.10500279845823997,0.17054302518734726,0.9495914243835732,0.17054302518734726,0.050408575616426754
2,North America,KELM_risk_feature,0.8305794606999426,0.8502218309180506,0.5027723354001414,0.7316408491107286,0.1655977917723718,0.5082481087121139,0.08793827870584624,0.11778610474032422,0.9339602546676791,0.11778610474032422,0.06603974533232093
2,North America,KELM_score_fusion,0.8529546758462422,0.8489350536825919,0.44239622372043375,0.7028829604130808,0.16440914719804336,0.49546436509941083,0.1117569244536953,0.1783381143976846,0.952208118792693,0.1783381143976846,0.04779188120730704
2,North America,Uncertainty_gated_fusion,0.8305794606999426,0.8502218309180506,0.5027723354001414,0.7316408491107286,0.1655977917723718,0.5082481087121139,0.08793827870584624,0.11778610474032422,0.9339602546676791,0.11778610474032422,0.06603974533232093
